STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
71262599999,2014-01-01,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",16.3,15,7.5,15,1028.1,15,999.9,0,12.1,15,8.3,15,12.0,999.9,21.2,*,14.0,*,99.99, ,999.9,1000
71262599999,2014-01-02,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",12.2,15,9.0,15,1022.0,15,999.9,0,1.7,15,13.5,15,17.1,26.0,15.8,*,10.4,*,99.99, ,999.9,1000
71262599999,2014-01-03,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",4.9,15,-3.6,15,1027.3,15,999.9,0,10.9,15,8.1,15,15.9,21.0,10.4,*,1.4,*,99.99, ,999.9,1000
71262599999,2014-01-04,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",23.2,15,9.3,15,1019.2,15,999.9,0,15.0,15,15.6,15,26.0,35.9,33.8,*,-0.4,*,0.0,I,999.9,0
71262599999,2014-01-05,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",32.7,16,25.6,16,1015.0,16,999.9,0,11.1,16,6.8,16,17.1,26.0,35.6,*,28.4,*,99.99, ,999.9,11000
71262599999,2014-01-06,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",21.9,15,15.1,15,1004.3,15,999.9,0,12.6,15,18.2,15,27.0,34.0,32.0,*,8.6,*,99.99, ,999.9,11000
71262599999,2014-01-07,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",3.0,15,-7.0,15,1018.0,15,999.9,0,12.5,15,23.1,15,31.1,40.0,5.0,*,-2.2,*,99.99, ,999.9,1000
71262599999,2014-01-08,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",13.5,14,4.4,14,1028.5,14,999.9,0,14.8,14,13.6,14,22.9,29.9,19.4,*,5.0,*,99.99, ,999.9,1000
71262599999,2014-01-09,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",18.4,15,10.4,15,1034.8,15,999.9,0,14.7,15,5.7,15,9.9,999.9,23.0,*,12.2,*,0.0,I,999.9,0
71262599999,2014-01-10,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",30.7,15,27.6,15,1024.5,15,999.9,0,10.1,15,4.7,15,8.0,999.9,39.2,*,15.8,*,99.99, ,999.9,1000
71262599999,2014-01-11,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",44.2,16,42.2,16,998.2,16,999.9,0,11.9,16,9.8,16,17.1,25.1,48.2,*,37.4,*,99.99, ,999.9,10000
71262599999,2014-01-12,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",36.2,15,30.4,15,1007.5,15,999.9,0,13.9,15,13.9,15,18.1,25.1,39.2,*,33.8,*,99.99, ,999.9,10000
71262599999,2014-01-13,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",42.8,16,32.7,16,1007.0,16,999.9,0,14.8,16,15.5,16,18.1,25.1,48.2,*,32.0,*,99.99, ,999.9,10000
71262599999,2014-01-14,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",39.1,15,33.2,15,1007.1,15,999.9,0,11.0,15,8.9,15,15.9,22.0,46.4,*,32.0,*,99.99, ,999.9,10000
71262599999,2014-01-15,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",30.1,15,21.7,15,1011.9,15,999.9,0,13.5,15,16.3,15,26.0,35.0,32.0,*,26.6,*,99.99, ,999.9,1000
71262599999,2014-01-16,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",28.6,15,19.5,15,1012.8,15,999.9,0,12.7,15,9.4,15,17.1,22.9,32.0,*,23.0,*,99.99, ,999.9,1000
71262599999,2014-01-17,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",33.4,15,23.7,15,1009.1,15,999.9,0,13.7,15,10.8,15,18.1,26.0,39.2,*,28.4,*,99.99, ,999.9,1000
71262599999,2014-01-18,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",23.2,15,17.4,15,1012.1,15,999.9,0,9.6,15,12.9,15,20.0,26.0,32.0,*,19.4,*,99.99, ,999.9,1000
71262599999,2014-01-19,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",23.0,15,17.7,15,1003.8,15,999.9,0,10.1,15,18.4,15,28.9,46.0,26.6,*,15.8,*,99.99, ,999.9,1000
71262599999,2014-01-20,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",22.0,15,15.1,15,1006.8,15,999.9,0,11.4,15,11.5,15,17.1,25.1,28.4,*,15.8,*,99.99, ,999.9,1000
71262599999,2014-01-21,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",8.4,15,0.9,15,1020.0,15,999.9,0,5.6,15,9.7,15,14.0,17.1,15.8,*,5.0,*,99.99, ,999.9,1000
71262599999,2014-01-22,43.191666,-79.171667,97.84,"NIAGARA DISTRICT, CA",5.6,15,-2.7,15,1019.7,15,999.9,0,9.9,15,7.5,15,12.0,999.9,6.8,*,1.4,*,99.99, ,999.9,1000
